Group,Average,Min,Max,Median,Upper quartile,Lower quartile
F 01-19,10.85940421,6.989821883,17.51399491,10.40394402,11.81234097,9.121342239
F 20-24,10.79593627,6.526717557,19.98155216,10.40521628,11.84096692,9.106870229
F 25-29,10.93137322,6.199745547,19.02480916,10.40076336,11.83333333,9.103689567
F 30-34,11.06737737,6.260814249,20.75636132,10.40648855,11.84160305,9.108142494
F 35-39,11.18136988,6.700381679,19.0629771,10.41284987,11.84414758,9.116094148
F 40-44,11.27620327,6.472010178,19.55852417,10.40776081,11.84048982,9.111323155
F 45-49,11.42322886,6.959923664,18.67366412,10.42366412,11.85368957,9.131679389
F 50-54,11.64009868,6.970101781,20.63231552,10.41412214,11.84605598,9.118956743
F 55-59,11.91703532,7.968829517,19.4153944,10.43384224,11.85941476,9.142493639
F 60-64,12.23098321,8.12913486,18.66412214,10.46755725,11.87849873,9.152035623
F 65-69,12.98021432,9.277989822,20.11450382,10.46405852,11.90776081,9.132951654
F 70-74,13.13507209,12.2735369,14.59987277,13.02608142,13.57824427,12.60877863
F 75-79,15.22678117,12.37659033,18.07697201,13.30375318,14.07601781,12.7706743
M 01-19,9.959855171,5.96437659,17.27544529,10.4001272,11.8320611,9.10353053
M 20-24,9.940172514,5.695292621,18.38613232,10.4020356,11.83651399,9.103530534
M 25-29,10.07772865,5.476463104,19.31679389,10.4026718,11.83905852,9.103689567
M 30-34,10.10979399,5.370229008,20.23854962,10.4026718,11.83842239,9.103689567
M 35-39,10.11367378,5.54389313,20.3346056,10.4026718,11.83683206,9.103689567
M 40-44,10.22710288,5.646310433,20.23854962,10.4020356,11.83715013,9.103689567
M 45-49,10.30564638,5.874681934,18.29961832,10.4026718,11.83587786,9.1043257
M 50-54,10.51757985,6.244274809,18.293257,10.4045802,11.84033079,9.106234097
M 55-59,10.8511347,6.790076336,17.20292621,10.4064885,11.84096692,9.108778626
M 60-64,11.36581344,7.219465649,20.11450382,10.4083969,11.84208015,9.113231552
M 65-69,11.90740449,6.858142494,18.40966921,10.4122137,11.84541985,9.113231552
M 70-74,12.77480916,9.842239186,16.8326972,11.1024173,12.45881043,10.08206107
M 75-79,12.80428329,11.2321883,13.79898219,10.4522901,12.09414758,9.161100509
